Theta1,Theta2,Theta3,U,V,R,X,Y,Z
35,95,75,124,94,14,188.2,16.6,278.8
35,100,50,148,178,11,116.8,-0.7,221.2
35,100,55,130,96,12,189.6,14.4,243.6
35,100,60,128,92,11,195.0,17.5,221.2
35,100,65,126,86,11,200.5,19.3,221.2
35,100,70,124,84,12,199.6,19.4,243.6
35,100,75,120,80,13,200.4,21.0,262.6
35,105,50,,,,,,
35,105,55,,,,,,
35,105,60,126,78,12,204.6,17.7,243.6
35,105,65,124,74,12,207.9,19.4,243.6
35,105,70,120,68,11,216.8,24.8,221.2
35,105,75,138,152,12,142.9,7.7,243.6
35,110,50,130,86,10,203.5,17.2,194.4
35,110,55,124,74,12,207.9,19.4,243.6
35,110,60,124,68,12,212.9,19.4,243.6
35,110,65,120,62,12,217.9,22.7,243.6
35,110,70,118,56,12,222.9,24.4,243.6
35,110,75,136,136,12,156.3,9.4,243.6
35,115,50,144,138,13,155.8,2.5,262.6
35,115,55,122,62,11,222.3,23.0,221.2
35,115,60,120,56,11,227.7,24.8,221.2
35,115,65,120,50,12,227.9,22.7,243.6
35,115,70,116,42,12,234.6,26.0,243.6
35,115,75,,,,,,
35,120,50,142,128,13,163.5,4.0,262.6
35,120,55,124,52,12,226.2,19.4,243.6
35,120,60,120,44,11,238.6,24.8,221.2
35,120,65,134,112,13,175.8,10.2,262.6
35,120,70,,,,,,
35,120,75,112,28,12,246.2,29.4,243.6
35,125,50,,,,,,
35,125,55,,,,,,
35,125,60,120,36,10,253.5,27.2,194.4
35,125,65,,,,,,
35,125,70,110,22,12,251.2,31.0,243.6
35,125,75,126,96,11,191.4,19.3,221.2
35,130,50,126,50,11,233.2,19.3,221.2
35,130,55,,,,,,
